activity_time_id,employee_id,activity_id,activity_date,minutes,factor_value,notes_internal
263,8,16,2025-04-29,240,1.0,
552,8,16,2025-05-30,240,1.0,
11758,5,18,2025-08-05,240,1.0,
1242,10,20,2025-06-26,240,0.0,
1701,11,20,2025-08-25,240,0.0,
599,4,20,2025-05-07,240,0.0,
11705,4,20,2025-08-15,240,0.0,
11719,4,20,2025-08-22,240,0.0,
1704,11,20,2025-08-28,240,0.0,
559,8,20,2025-05-30,240,0.0,
810,11,20,2025-05-23,240,0.0,
1562,3,21,2025-08-19,240,1.0,
1712,11,21,2025-08-29,240,1.0,
1711,11,21,2025-08-28,240,1.0,
1708,11,21,2025-08-25,240,1.0,
1569,3,22,2025-08-19,240,0.0,
1271,3,22,2025-06-27,240,0.0,
1418,3,22,2025-07-29,240,0.0,
1495,3,22,2025-08-08,240,0.0,
1572,3,22,2025-08-22,240,0.0,
1652,3,22,2025-08-25,240,0.0,
1533,3,22,2025-08-11,240,0.0,
1537,3,22,2025-08-15,240,0.0,
1441,6,24,2025-07-10,240,0.0,
657,6,24,2025-05-16,240,0.0,
948,3,25,2025-06-19,240,1.0,
1716,11,25,2025-08-26,240,1.0,
1502,3,25,2025-08-08,240,1.0,
1659,3,25,2025-08-25,240,1.0,
1719,11,25,2025-08-29,240,1.0,
946,3,25,2025-06-17,255,1.0,
1349,3,22,2025-07-02,270,0.0,
1277,3,25,2025-06-26,270,1.0,
1274,3,25,2025-06-23,270,1.0,
870,3,17,2025-06-11,300,1.0,
1117,2,20,2025-06-27,300,0.0,
1066,8,20,2025-06-25,300,0.0,
931,3,21,2025-06-16,300,1.0,
1288,3,21,2025-06-30,300,1.0,
855,3,22,2025-06-03,300,0.0,
1568,3,22,2025-08-18,300,0.0,
857,3,22,2025-06-05,300,0.0,
1536,3,22,2025-08-14,300,0.0,
886,3,22,2025-06-13,300,0.0,
1661,3,25,2025-08-27,300,1.0,
1275,3,25,2025-06-24,300,1.0,
947,3,25,2025-06-18,300,1.0,
447,3,11,2025-05-23,330,1.0,
718,3,22,2025-05-19,330,0.0,
720,3,22,2025-05-21,330,0.0,
389,3,11,2025-05-14,360,1.0,
494,3,11,2025-05-28,360,1.0,
388,3,11,2025-05-13,360,1.0,
1521,3,11,2025-08-13,360,1.0,
203,4,14,2025-04-30,360,1.0,
264,8,16,2025-04-30,360,1.0,
523,8,16,2025-05-15,360,1.0,
536,8,16,2025-05-21,360,1.0,
869,3,17,2025-06-10,360,1.0,
1109,2,17,2025-06-26,360,1.0,
11803,5,18,2025-08-29,360,1.0,
11780,5,18,2025-08-13,360,1.0,
1382,2,20,2025-07-07,360,0.0,
1684,11,20,2025-08-22,360,0.0,
1670,11,20,2025-08-15,360,0.0,
826,3,21,2025-06-02,360,1.0,
1350,3,22,2025-07-03,360,0.0,
1501,3,25,2025-08-07,360,1.0,
1500,3,25,2025-08-06,360,1.0,
1499,3,25,2025-08-05,360,1.0,
882,3,22,2025-06-09,390,0.0,
856,3,22,2025-06-04,390,0.0,
493,3,11,2025-05-27,420,1.0,
1385,2,20,2025-07-10,420,0.0,
1703,11,20,2025-08-27,420,0.0,
1124,2,20,2025-07-04,420,0.0,
1123,2,20,2025-07-03,420,0.0,
1683,11,20,2025-08-21,420,0.0,
1681,11,20,2025-08-19,420,0.0,
1122,2,20,2025-07-02,420,0.0,
1289,3,21,2025-07-01,420,1.0,
1262,3,20,2025-06-25,450,0.0,
1316,11,7,2025-06-23,480,1.0,
463,11,7,2025-05-08,480,1.0,
56,11,7,2025-04-22,480,1.0,
897,11,7,2025-06-10,480,1.0,
841,11,7,2025-06-03,480,1.0,
842,11,7,2025-06-04,480,1.0,
51,11,7,2025-04-10,480,1.0,
1318,11,7,2025-06-25,480,1.0,
475,11,7,2025-05-20,480,1.0,
66,11,7,2025-05-02,480,1.0,
468,11,7,2025-05-13,480,1.0,
52,11,7,2025-04-11,480,1.0,
467,11,7,2025-05-12,480,1.0,
476,11,7,2025-05-21,480,1.0,
900,11,7,2025-06-13,480,1.0,
896,11,7,2025-06-09,480,1.0,
483,11,7,2025-05-28,480,1.0,
62,11,7,2025-04-28,480,1.0,
481,11,7,2025-05-26,480,1.0,
1320,11,7,2025-06-27,480,1.0,
469,11,7,2025-05-14,480,1.0,
477,11,7,2025-05-22,480,1.0,
464,11,7,2025-05-09,480,1.0,
1310,11,7,2025-06-17,480,1.0,
1317,11,7,2025-06-24,480,1.0,
59,11,7,2025-04-25,480,1.0,
10,11,7,2025-04-03,480,1.0,
48,11,7,2025-04-07,480,1.0,
474,11,7,2025-05-19,480,1.0,
840,11,7,2025-06-02,480,1.0,
57,11,7,2025-04-23,480,1.0,
64,11,7,2025-04-30,480,1.0,
11,11,7,2025-04-04,480,1.0,
843,11,7,2025-06-05,480,1.0,
1312,11,7,2025-06-19,480,1.0,
58,11,7,2025-04-24,480,1.0,
49,11,7,2025-04-08,480,1.0,
482,11,7,2025-05-27,480,1.0,
460,11,7,2025-05-05,480,1.0,
1309,11,7,2025-06-16,480,1.0,
63,11,7,2025-04-29,480,1.0,
462,11,7,2025-05-07,480,1.0,
8,11,7,2025-04-01,480,1.0,
1311,11,7,2025-06-18,480,1.0,
50,11,7,2025-04-09,480,1.0,
898,11,7,2025-06-11,480,1.0,
9,11,7,2025-04-02,480,1.0,
461,11,7,2025-05-06,480,1.0,
409,12,8,2025-05-06,480,1.0,
411,12,8,2025-05-08,480,1.0,
412,12,8,2025-05-09,480,1.0,
429,12,8,2025-05-19,480,1.0,
138,12,8,2025-04-08,480,1.0,
160,12,8,2025-04-30,480,1.0,
431,12,8,2025-05-21,480,1.0,
141,12,8,2025-04-11,480,1.0,
1614,12,8,2025-08-29,480,1.0,
430,12,8,2025-05-20,480,1.0,
155,12,8,2025-04-25,480,1.0,
1590,12,8,2025-08-05,480,1.0,
1600,12,8,2025-08-15,480,1.0,
1598,12,8,2025-08-13,480,1.0,
426,12,8,2025-05-16,480,1.0,
159,12,8,2025-04-29,480,1.0,
1593,12,8,2025-08-08,480,1.0,
154,12,8,2025-04-24,480,1.0,
432,12,8,2025-05-22,480,1.0,
131,12,8,2025-04-01,480,1.0,
1612,12,8,2025-08-27,480,1.0,
140,12,8,2025-04-10,480,1.0,
1611,12,8,2025-08-26,480,1.0,
132,12,8,2025-04-02,480,1.0,
153,12,8,2025-04-23,480,1.0,
158,12,8,2025-04-28,480,1.0,
1589,12,8,2025-08-04,480,1.0,
133,12,8,2025-04-03,480,1.0,
422,12,8,2025-05-12,480,1.0,
436,12,8,2025-05-26,480,1.0,
134,12,8,2025-04-04,480,1.0,
437,12,8,2025-05-27,480,1.0,
1610,12,8,2025-08-25,480,1.0,
438,12,8,2025-05-28,480,1.0,
1591,12,8,2025-08-06,480,1.0,
1604,12,8,2025-08-19,480,1.0,
425,12,8,2025-05-15,480,1.0,
1592,12,8,2025-08-07,480,1.0,
1607,12,8,2025-08-22,480,1.0,
1605,12,8,2025-08-20,480,1.0,
162,12,8,2025-05-02,480,1.0,
424,12,8,2025-05-14,480,1.0,
1613,12,8,2025-08-28,480,1.0,
139,12,8,2025-04-09,480,1.0,
1606,12,8,2025-08-21,480,1.0,
1603,12,8,2025-08-18,480,1.0,
433,12,8,2025-05-23,480,1.0,
137,12,8,2025-04-07,480,1.0,
152,12,8,2025-04-22,480,1.0,
408,12,8,2025-05-05,480,1.0,
1597,12,8,2025-08-12,480,1.0,
1599,12,8,2025-08-14,480,1.0,
423,12,8,2025-05-13,480,1.0,
1729,10,9,2025-08-18,480,1.0,
43,10,9,2025-04-30,480,1.0,
1731,10,9,2025-08-20,480,1.0,
777,10,9,2025-05-09,480,1.0,
910,10,9,2025-06-09,480,1.0,
1226,10,9,2025-07-01,480,1.0,
920,10,9,2025-06-05,480,1.0,
35,10,9,2025-04-22,480,1.0,
15,10,9,2025-04-02,480,1.0,
1732,10,9,2025-08-21,480,1.0,
798,10,9,2025-05-27,480,1.0,
791,10,9,2025-05-20,480,1.0,
918,10,9,2025-06-03,480,1.0,
793,10,9,2025-05-22,480,1.0,
45,10,9,2025-05-02,480,1.0,
790,10,9,2025-05-19,480,1.0,
36,10,9,2025-04-23,480,1.0,
917,10,9,2025-06-02,480,1.0,
1236,10,9,2025-06-27,480,1.0,
1730,10,9,2025-08-19,480,1.0,
28,10,9,2025-04-15,480,1.0,
29,10,9,2025-04-16,480,1.0,
799,10,9,2025-05-28,480,1.0,
774,10,9,2025-05-06,480,1.0,
911,10,9,2025-06-10,480,1.0,
919,10,9,2025-06-04,480,1.0,
37,10,9,2025-04-24,480,1.0,
1228,10,9,2025-07-03,480,1.0,
24,10,9,2025-04-11,480,1.0,
41,10,9,2025-04-28,480,1.0,
773,10,9,2025-05-05,480,1.0,
797,10,9,2025-05-26,480,1.0,
1549,10,9,2025-08-13,480,1.0,
16,10,9,2025-04-03,480,1.0,
14,10,9,2025-04-01,480,1.0,
785,10,9,2025-05-14,480,1.0,
1229,10,9,2025-07-04,480,1.0,
784,10,9,2025-05-13,480,1.0,
1233,10,9,2025-06-24,480,1.0,
21,10,9,2025-04-08,480,1.0,
1550,10,9,2025-08-14,480,1.0,
38,10,9,2025-04-25,480,1.0,
787,10,9,2025-05-16,480,1.0,
27,10,9,2025-04-14,480,1.0,
776,10,9,2025-05-08,480,1.0,
794,10,9,2025-05-23,480,1.0,
1232,10,9,2025-06-23,480,1.0,
783,10,9,2025-05-12,480,1.0,
23,10,9,2025-04-10,480,1.0,
914,10,9,2025-06-13,480,1.0,
786,10,9,2025-05-15,480,1.0,
1725,10,9,2025-08-28,480,1.0,
1225,10,9,2025-06-30,480,1.0,
1724,10,9,2025-08-27,480,1.0,
17,10,9,2025-04-04,480,1.0,
1227,10,9,2025-07-02,480,1.0,
1733,10,9,2025-08-22,480,1.0,
42,10,9,2025-04-29,480,1.0,
1551,10,9,2025-08-15,480,1.0,
20,10,9,2025-04-07,480,1.0,
775,10,9,2025-05-07,480,1.0,
792,10,9,2025-05-21,480,1.0,
22,10,9,2025-04-09,480,1.0,
1234,10,9,2025-06-25,480,1.0,
1726,10,9,2025-08-29,480,1.0,
1078,2,10,2025-06-02,480,1.0,
90,2,10,2025-04-28,480,1.0,
1088,2,10,2025-06-12,480,1.0,
697,2,10,2025-05-21,480,1.0,
91,2,10,2025-04-29,480,1.0,
692,2,10,2025-05-16,480,1.0,
1080,2,10,2025-06-04,480,1.0,
73,2,10,2025-04-11,480,1.0,
695,2,10,2025-05-19,480,1.0,
682,2,10,2025-05-06,480,1.0,
704,2,10,2025-05-28,480,1.0,
1094,2,10,2025-06-18,480,1.0,
690,2,10,2025-05-14,480,1.0,
698,2,10,2025-05-22,480,1.0,
77,2,10,2025-04-15,480,1.0,
71,2,10,2025-04-09,480,1.0,
86,2,10,2025-04-24,480,1.0,
1087,2,10,2025-06-11,480,1.0,
1081,2,10,2025-06-05,480,1.0,
1086,2,10,2025-06-10,480,1.0,
681,2,10,2025-05-05,480,1.0,
84,2,10,2025-04-22,480,1.0,
689,2,10,2025-05-13,480,1.0,
684,2,10,2025-05-08,480,1.0,
78,2,10,2025-04-16,480,1.0,
702,2,10,2025-05-26,480,1.0,
696,2,10,2025-05-20,480,1.0,
76,2,10,2025-04-14,480,1.0,
691,2,10,2025-05-15,480,1.0,
1079,2,10,2025-06-03,480,1.0,
706,2,10,2025-05-30,480,1.0,
1092,2,10,2025-06-16,480,1.0,
1085,2,10,2025-06-09,480,1.0,
85,2,10,2025-04-23,480,1.0,
94,2,10,2025-05-02,480,1.0,
79,2,10,2025-04-17,480,1.0,
70,2,10,2025-04-08,480,1.0,
87,2,10,2025-04-25,480,1.0,
72,2,10,2025-04-10,480,1.0,
699,2,10,2025-05-23,480,1.0,
685,2,10,2025-05-09,480,1.0,
1089,2,10,2025-06-13,480,1.0,
1093,2,10,2025-06-17,480,1.0,
688,2,10,2025-05-12,480,1.0,
92,2,10,2025-04-30,480,1.0,
703,2,10,2025-05-27,480,1.0,
683,2,10,2025-05-07,480,1.0,
309,3,11,2025-04-17,480,1.0,
315,3,11,2025-04-09,480,1.0,
280,3,11,2025-05-02,480,1.0,
278,3,11,2025-04-30,480,1.0,
492,3,11,2025-05-26,480,1.0,
295,3,11,2025-04-03,480,1.0,
293,3,11,2025-04-01,480,1.0,
308,3,11,2025-04-16,480,1.0,
294,3,11,2025-04-02,480,1.0,
313,3,11,2025-04-07,480,1.0,
276,3,11,2025-04-28,480,1.0,
306,3,11,2025-04-14,480,1.0,
301,3,11,2025-04-23,480,1.0,
302,3,11,2025-04-24,480,1.0,
303,3,11,2025-04-25,480,1.0,
374,3,11,2025-05-06,480,1.0,
300,3,11,2025-04-22,480,1.0,
316,3,11,2025-04-10,480,1.0,
317,3,11,2025-04-11,480,1.0,
314,3,11,2025-04-08,480,1.0,
373,3,11,2025-05-05,480,1.0,
296,3,11,2025-04-04,480,1.0,
307,3,11,2025-04-15,480,1.0,
277,3,11,2025-04-29,480,1.0,
120,6,12,2025-04-24,480,1.0,
1008,6,12,2025-06-23,480,1.0,
981,6,12,2025-06-10,480,1.0,
104,6,12,2025-04-08,480,1.0,
619,6,12,2025-05-27,480,1.0,
618,6,12,2025-05-26,480,1.0,
967,6,12,2025-06-03,480,1.0,
110,6,12,2025-04-14,480,1.0,
105,6,12,2025-04-09,480,1.0,
1449,6,12,2025-08-01,480,1.0,
968,6,12,2025-06-04,480,1.0,
980,6,12,2025-06-09,480,1.0,
995,6,12,2025-06-17,480,1.0,
119,6,12,2025-04-23,480,1.0,
112,6,12,2025-04-16,480,1.0,
634,6,12,2025-05-21,480,1.0,
11745,6,12,2025-08-27,480,1.0,
1431,6,12,2025-07-07,480,1.0,
1453,6,12,2025-07-15,480,1.0,
662,6,12,2025-05-07,480,1.0,
125,6,12,2025-04-29,480,1.0,
996,6,12,2025-06-18,480,1.0,
103,6,12,2025-04-07,480,1.0,
660,6,12,2025-05-05,480,1.0,
1022,6,12,2025-06-30,480,1.0,
1452,6,12,2025-07-14,480,1.0,
118,6,12,2025-04-22,480,1.0,
966,6,12,2025-06-02,480,1.0,
620,6,12,2025-05-28,480,1.0,
1432,6,12,2025-07-08,480,1.0,
98,6,12,2025-04-02,480,1.0,
1024,6,12,2025-07-02,480,1.0,
11746,6,12,2025-08-28,480,1.0,
1009,6,12,2025-06-24,480,1.0,
1010,6,12,2025-06-25,480,1.0,
661,6,12,2025-05-06,480,1.0,
648,6,12,2025-05-14,480,1.0,
97,6,12,2025-04-01,480,1.0,
982,6,12,2025-06-11,480,1.0,
1433,6,12,2025-07-09,480,1.0,
633,6,12,2025-05-20,480,1.0,
1447,6,12,2025-07-30,480,1.0,
1445,6,12,2025-07-28,480,1.0,
1023,6,12,2025-07-01,480,1.0,
1454,6,12,2025-07-16,480,1.0,
1448,6,12,2025-07-31,480,1.0,
